Groups:

Data:
time unit: ps, TCK, TMS, TDI_jtag, TDO_jtag, trigger, state_led1, 
0, X, X, X, X, X, X, 
3826571, 1, 1, 0, 1, 0, 1, 
3839904, 1, 1, 0, 1, 0, 1, 
3853237, 1, 1, 0, 1, 0, 1, 
3866570, 1, 1, 0, 1, 0, 1, 
3879903, 1, 1, 0, 1, 0, 1, 
3893236, 1, 1, 0, 1, 0, 1, 
3906569, 1, 1, 0, 1, 0, 1, 
3919902, 1, 1, 0, 1, 0, 1, 
3933235, 1, 1, 0, 1, 0, 1, 
3946568, 1, 1, 0, 1, 0, 1, 
3959901, 1, 1, 0, 1, 0, 1, 
3973234, 1, 1, 0, 1, 0, 1, 
3986567, 1, 1, 0, 1, 0, 1, 
3999900, 1, 1, 0, 1, 0, 1, 
4013233, 1, 1, 0, 1, 0, 1, 
4026566, 1, 1, 0, 1, 0, 1, 
4039899, 1, 1, 0, 1, 0, 1, 
4053232, 1, 1, 0, 1, 0, 1, 
4066565, 1, 1, 0, 1, 0, 1, 
4079898, 1, 1, 0, 1, 0, 1, 
4093231, 1, 1, 0, 1, 0, 1, 
4106564, 1, 1, 0, 1, 0, 1, 
4119897, 1, 1, 0, 1, 0, 1, 
4133230, 1, 1, 0, 1, 0, 1, 
4146563, 1, 1, 0, 1, 0, 1, 
4159896, 1, 1, 0, 1, 0, 1, 
4173229, 1, 1, 0, 1, 0, 1, 
4186562, 1, 1, 0, 1, 0, 1, 
4199895, 1, 1, 0, 1, 0, 1, 
4213228, 1, 1, 0, 1, 0, 1, 
4226561, 1, 1, 0, 1, 0, 1, 
4239894, 1, 1, 0, 1, 0, 1, 
4253227, 1, 1, 0, 1, 0, 1, 
4266560, 1, 1, 0, 1, 0, 1, 
4279893, 1, 1, 0, 1, 0, 1, 
4293226, 1, 1, 0, 1, 0, 1, 
4306559, 1, 1, 0, 1, 0, 1, 
4319892, 1, 1, 0, 1, 0, 1, 
4333225, 1, 1, 0, 1, 0, 1, 
4346558, 1, 1, 0, 1, 0, 1, 
4359891, 1, 1, 0, 1, 0, 1, 
4373224, 1, 1, 0, 1, 0, 1, 
4386557, 1, 1, 0, 1, 0, 1, 
4399890, 1, 1, 0, 1, 0, 1, 
4413223, 1, 1, 0, 1, 0, 1, 
4426556, 1, 1, 0, 1, 0, 1, 
4439889, 1, 1, 0, 1, 0, 1, 
4453222, 1, 1, 0, 1, 0, 1, 
4466555, 1, 1, 0, 1, 0, 1, 
4479888, 1, 1, 0, 1, 0, 1, 
4493221, 1, 1, 0, 1, 0, 1, 
4506554, 1, 1, 0, 1, 0, 1, 
4519887, 1, 1, 0, 1, 0, 1, 
4533220, 1, 1, 0, 1, 0, 1, 
4546553, 1, 1, 0, 1, 0, 1, 
4559886, 1, 1, 0, 1, 0, 1, 
4573219, 1, 1, 0, 1, 0, 1, 
4586552, 1, 1, 0, 1, 0, 1, 
4599885, 1, 1, 0, 1, 0, 1, 
